Date,Open,High,Low,Close,Volume
05/30/2019,"7.57","7.70","7.53","7.60","2,695,195"
05/29/2019,"7.73","7.75","7.39","7.57","4,127,874"
05/28/2019,"7.85","7.99","7.74","7.74","2,732,843"
05/24/2019,"7.71","7.86","7.71","7.82","2,542,140"
05/23/2019,"7.84","7.86","7.67","7.70","3,919,476"
05/22/2019,"8.07","8.08","7.76","7.90","4,516,125"
05/21/2019,"8.07","8.14","7.89","8.13","5,697,108"
05/20/2019,"8.46","8.52","7.98","8.06","5,043,577"
05/17/2019,"8.54","8.78","8.54","8.61","1,967,285"
05/16/2019,"8.74","8.84","8.64","8.67","1,750,984"
05/15/2019,"8.44","8.71","8.44","8.69","2,253,513"
05/14/2019,"8.32","8.55","8.24","8.53","2,612,858"
05/13/2019,"8.33","8.37","8.17","8.26","3,043,219"
05/10/2019,"8.52","8.58","8.36","8.48","2,301,524"
05/09/2019,"8.60","8.65","8.48","8.52","2,339,534"
05/08/2019,"8.75","8.85","8.65","8.69","2,062,390"
05/07/2019,"8.77","8.92","8.69","8.77","2,591,581"
05/06/2019,"8.85","8.92","8.66","8.85","2,406,428"
05/03/2019,"8.81","8.99","8.77","8.97","2,179,604"
05/02/2019,"8.51","8.83","8.51","8.77","3,117,109"
05/01/2019,"8.66","8.79","8.47","8.51","3,538,954"
04/30/2019,"8.80","8.85","8.65","8.65","3,207,672"
04/29/2019,"8.89","8.90","8.71","8.76","2,548,243"
04/26/2019,"8.93","9.03","8.88","8.89","2,306,798"
04/25/2019,"8.99","9.00","8.72","8.95","2,627,012"
04/24/2019,"8.90","9.06","8.89","9.01","4,106,124"
04/23/2019,"8.64","8.97","8.64","8.89","4,452,334"
04/22/2019,"8.75","8.82","8.53","8.65","6,278,660"
04/18/2019,"8.86","9.03","8.74","8.77","3,814,181"
04/17/2019,"9.11","9.12","8.75","8.94","3,921,094"
04/16/2019,"9.00","9.15","8.95","9.08","4,719,989"
04/15/2019,"9.27","9.35","8.81","8.94","5,527,398"
04/12/2019,"9.79","9.83","9.29","9.32","4,778,571"
04/11/2019,"9.98","9.98","9.74","9.76","2,545,196"
04/10/2019,"9.88","10.01","9.88","9.97","2,807,432"
04/09/2019,"9.85","10.00","9.81","9.82","2,978,480"
04/08/2019,"9.79","10.08","9.73","9.94","4,551,005"
04/05/2019,"9.96","10.01","9.79","9.86","5,744,033"
04/04/2019,"9.74","10.06","9.66","10.03","7,917,756"
04/03/2019,"8.86","10.03","8.82","9.63","26,597,949"
04/02/2019,"10.37","10.41","10.09","10.10","8,670,204"
04/01/2019,"10.29","10.42","10.04","10.37","4,415,694"
03/29/2019,"10.21","10.36","10.15","10.16","2,919,034"
03/28/2019,"10.36","10.49","10.07","10.19","3,122,334"
03/27/2019,"10.37","10.54","10.25","10.29","2,606,238"
03/26/2019,"10.11","10.44","10.09","10.35","3,535,053"
